wordcontent,sentences,index
गलती,"सप्ताह में दो बार खुराक भी प्रभावी है लेकिन डब्ल्यूएचओ के द्वारा इसकी सलाह नहीं दी जाती , क्योंकि इसमें गलती ( अगर कोई एक खुराक लेना भूल जाये तो सप्ताह में ली गयी केवल एक खुराक प्रभावी नहीं होती ) के लिए मार्जिन नहीं होता है ।",70
गलती,लेकिन उन्होंने परीक्षण और ’ गलती ’ करो और उससे ’ सीखो ’ विधि का प्रयोग करते हुए उन कठिनाइयों पर विजय हासिल की ।,1281
गलती,दूसरों पर दोष मढ़ने से बेहतर है कि रामगोपाल वर्मा अपनी गलती स्वीकार करें और भविष्य के लिए सबक लें ।,2462
गलती,ब्लूस्टार ऑपरेशन के दौरान बी. बी. सी. के संवाददाता तक ने एक गलती की कि आर्मी पर्सनल कैरियर ( सैनिकों को ले जाने वाले युद्ध - वाहन ) को युद्ध टैंक समझा ।,3426
गलती,दवा के पर्चे में या दवा लेने में किसी प्रकार की गलती इस बात का कारण बन सकती है कि रोगी उपचार के लिए प्रतिक्रिया प्रदर्शित ना करे ।,4093
गलती,संडे की रात हुए मुकाबले में भारतीय टीम को अपने विकेटकीपर की एक गलती के कारण मैच गंवाना पड़ गया ।,4473
सिनेमा,"साहित्योत्सव में साहित्य अकादमी पर गुलज़ार निर्मित व निर्देशित वृतचित्र के प्रदर्शन , साहित्य व सिनेमा का संबंध , साहित्य व मीडिया , साहित्य व रंगमंच , साहित्य - चित्रकला - संगीत - नृत्य पर इन विषयों के विशेषज्ञ की वार्ता खास होगी ।",919
सिनेमा,मेरी तरह या मुझसे भी ज्यादा उम्र - रसीदा लोग अब तक समझ गए होंगे कि मैं किसकी बात कर रहा हूं लेकिन नव - उम्र जवानों को तो बताना ही पड़ेगा कि मैं असल में एक ऐसे कॉमेडियन की बात करने जा रहा हूं जिसे हिंदुस्तानी सिनेमा का पहला स्टार कॉमेडियन माना गया है ।,928
सिनेमा,हिंदुस्तानी सिनेमा के परदे पर शुरूआती दौर में जिन लोगों ने कॉमेडी की उनमें एक नाम आता है चार्ली का ।,932
सिनेमा,1931 में जब भारतीय सिनेमा को आवाज मिली उससे बहुत पहले साइलेंट सिनेमा वाले दौर में पश्चिम में लारल - हार्डी चैप्लिन जैसे सितारों की हास्य फिल्मों ने दुनिया में धूम मचा दी थी ।,935
सिनेमा,"भारत में भी इस तरह की कुछ कोशिशें होती रहती थीं , लेकिन सवाक सिनेमा के आगमन के साथ ही इस दिशा में कोशिशें और तेज हो गईं ।",938
सिनेमा,सर्वश्रेष्ठ गैर - फीचर फिल्म का पुरस्कार राजा शबीर खान की फिल्म ‘ शेफर्ड्स ऑफ पैराडाइज़ ‘ को दिया गया है जबकि सिनेमा पर सर्वश्रेष्ठ पुस्तक का पुरस्कार बीडी. गर्ग की ‘ साइलेंट सिनेमा ऑफ इंडिया ए पिक्टोरियल जर्नी ‘ को दिया गया है ।,2146
जडेजा,आखिरी ओवर में टीम इंडिया को बड़े स्कोर तक पहुंचाने का दारोमदार कप्तान धोनी और रविंद्र जडेजा पर था ।,1707
जडेजा,बेस्ट ने 47 ओवर में धोनी और 49 वे ओवर में जडेजा को जबर्दस्त यार्कर पर बोल्ड कर टीम इंडिया के अरमानों पर पानी फेर दिया और इंडीज को जीतने के लिए 230 रनों का ही टोटल मिला ।,1708
जडेजा,"चैंपियंस ट्रॉफी में अपनी जोरदार बल्लेबाजी से ' मैन ऑफ द टूर्नामेंट ' बने ओपनर शिखर धवन ने अपना सम्मान उत्तराखंड में आई आपदा के पीडितों को समर्पित कर जहां संवेदनशील इंसान होने का परिचय दिया , वहीं पिछले एक साल में शानदार प्रदर्शन करने वाले रवींद्र जडेजा की मैदान पर कामयाबी ने कई प्रमुख कारपोरेट घरानों का ध्यान खींचा है ।",2225
जडेजा,चैंपियंस ट्रॉफी में भारत की खिताबी जीत के दौरान सर्वाधिक विकेट चटकाने के लिए ' गोल्डन बॉल ' पुरस्कार जीतने वाले जडेजा को कुछ राष्ट्रीय और बहुराष्ट्रीय ब्रांड से विज्ञापन की आकर्षक पेशकश मिल रही हैं ।,2226
जडेजा,"फाइनल में दो विकेट लेने के अलावा जडेजा ने 33 रन की महत्वपूर्ण पारी भी खेली थी , जिससे भारतीय टीम मेजबान इंग्लैंड को 129 रन का चुनौतीपूर्ण लक्ष्य देने में सफल रही ।",2227
जडेजा,आप जल्द ही देखेंगे कि कुछ काफी महत्वपूर्ण ब्रांड ने स्वयं को जडेजा के साथ जोड़ लिया है ।,2229
खून,ये पापिनें ना जाने कितने मासूमों का खून पी चुकीं होंगी ।,1137
खून,"केवल मादा मच्छर खून से पोषण लेती है , अतः यह ही वाहक होती है ना कि नर ।",2995
खून,अनेक प्रजातियों के मच्छर मनुष्य का खून चूसने के बाद दीवार पर बैठ कर इसे हजम करते हैं ।,5508
खून,"सर ! वो इस इलाके में मुन्ना के नाम से ही जाना जाता है , इससे पहले खून के जुर्म में एक साल की सज़ा काट चुका है ।",6198
खून,"धमकी नहीं ये तो सिर्फ दस्तखत है , पूरा दस्तावेज़ तो कल लिखा जाएगा और तब तक लिखा जाएगा जब तक तेरे जिस्म में खून है और हमारी कलम में दम ।",6355
खून,"कोई मुकुटबिहारी नाम का आदमी है , बाहर गाँव से खून कर के आइला है , वो ही इनका दादा है ।",6378
ई.,अनुमान के आधार पर लोग कहते हैं रजरप्पा / छिन्नमस्तिका मंदिर समुद्रगुप्त काल का मंदिर है ( 320 से 380 ई. के बीच ) किन्तु कुछ लोग इसे महाभारत काल से भी जोड़ते हैं ।,84
ई.,"तब दीक्षित , गौरी , केसरी और ई. बिलीमोरिया जैसे चार कलाकार उभरकर सामने आए ।",939
ई.,नवरतनगढ़ में नागवंशियों का इतिहास 64 ई. में सुतियाम्बे से शुरू होता है ।,2740
ई.,किन्तु पाँचवें राजा प्रताप राय अपनी राजधानी 309 ई. में चुटिया ले गये ।,2743
ई.,नवरतनगढ़ का निर्माण 1585 ई. में हुआ ।,2745
ई.,पुनः नवरतनगढ़ छोड़कर 51वें राजा यदुनाथ शाह को 1707 ई. में पालकोट आना पड़ा ।,2746
बहन,"इसके प्रथम अंक के प्रथम पृष्‍ठ पर यह निवेदन प्रकाशित हुआ था , मेरी प्यारी बहनों , मैं तुम्हारी नई बहन ’ बाल बोधनी ’ आज तुम लोगों से मिलने आई हूं और मेरी यह इच्छा है कि तुम लोगों से हर महीने एक बार मिलूं ।",1294
बहन,"फिर उसके बाद हर मोड़ पर कभी बेटी बनकर , कभी बहन तो कभी बीवी बनकर अपनी खुशियों की बलि चढाती गई ।",2888
बहन,"वो बेटी , बहन , बीवी बनकर कदम कदम पर अपने को कुर्बान नहीं करेगी ।",2889
बहन,"कैसी बात करती है तू , भाई बहन के और बहन भाई के काम नहीं आएगी तो कौन आएगा , बता क्या काम है ?",4521
बहन,नरेश - नरक में मत डालो बहन ।,4578
बहन,सौदामिनी - अब तो बहन बना लिये कोई डर तो नहीं ।,4579
प्रतिदिन,उसरी प्रपात का रमणीक दृश्य हजारों पर्यटकों को प्रतिदिन आकर्षित करता है ।,122
प्रतिदिन,"दिल्ली , जयपुर और मुम्बई से उदयपुर के लिए प्रतिदिन की उड़ानें हैं ।",269
प्रतिदिन,"टीबी मैनिंजाइटिस के लिए डेक्सामेथासोन की 8 से 12 मिलीग्राम की खुराक प्रतिदिन 6 सप्ताह से अधिक समय के लिए दी जाती है ( वे लोग अधिक सटीक खुराक लेना चाहते हैं , उन्हें थ्वाईटेस दी जाती है "" एट आल "" , 2004 )",746
प्रतिदिन,पेरीकार्डीटिस के लिए प्रेडनिसोलोन की 60 मिलीग्राम खुराक प्रतिदिन चार से आठ सप्ताह के लिए दी जाती है ।,747
प्रतिदिन,प्रोकेन बेंज़ाइल पेनिसिलिन छह लाख मात्रक भी ( जिसमें एक लाख साधारण बेंज़ाइल पेनिसिलिन संमिलित हो ) पाँच दिन तक प्रतिदिन एक बार दिया जाए ।,1327
प्रतिदिन,बिहार राज्य पर्यटन विकास निगम द्वारा बोधगया के लिये प्रतिदिन डीलक्स बसें संचालित की जाती हैं ।,1849
पनीर,उसमें पनीर डालें ।,192
पनीर,तत्पश्चात हरी और मीठी चटनी तथा दही मिलाकर गरमा - गरम तिल - पनीर की टिकिया पेश करें ।,199
पनीर,पनीर भी डाल दें ध्यान रहे कि मिश्रण सूखा ही रहे ।,471
पनीर,पनीर के भी छोटे - छोटे टुकड़े काट लें ।,1702
