sentid,word,tag
1,1,B-NEN
1,rAjanIwi,B-NETE
1,SAswramu,I-NETE
1,BAvAlu,O
1,sixXAMwAlu,O
1,saMsWalu,B-NETE
1,aXyAyamu,O
1,1,B-NEN
1,paricayamu,O
1,1,B-NEN
1,rAjanIwi,O
1,SAswrasvaBAvAnni,O
1,xAni,O
1,aBivqxXini,O
1,vivariMpumu,O
2,rAjanIwiSAswramu,B-NETE
2,praXAnaMgA,O
2,rAjya,O
2,praBuwvAla,O
2,guriMci,O
2,aXyayanaM,O
2,ceswuMxi,O
3,rAjanIwiSAswramu,B-NETE
3,prAcIna,O
3,grIkunagara,B-NEL
3,rAjyAlalo,I-NEL
3,uxBaviMciMxi,O
4,prAcIna,O
4,grIkulu,B-NEL
4,nagara,O
4,rAjyAlalo,O
4,nivasiMcevAru,O
5,atti,O
5,nagara,O
5,rAjyAla,O
5,nirmANaM,O
5,nagara,O
5,rAjyamulaloni,O
5,praBuwva,O
5,svarUpamu,O
5,aMxali,O
5,rAjakIya,B-NETE
5,saMsWalu,I-NETE
5,vAti,O
5,viXulanu,O
5,guriMci,O
5,aXyayanaM,O
5,ceyu,O
5,SAswrAnni,O
5,rAjanIwiSAswraM,B-NETE
5,gA,O
5,vAru,O
5,pilavadaM,O
5,jarigiMxi,O
6,prAwa,O
6,grIkuwawwvavewwa,B-NETP
6,aristAtil,B-NEP
6,wAnu,O
6,raciMcina,O
6,pramuKa,O
6,graMWAniki,O
6,pAlitiks,B-NETO
6,ani,O
6,perupeVttAdu,O
7,viviXa,O
7,rAjakIya,O
7,BAvAlanu,O
7,samagraMgA,O
7,vivariMcina,O
7,aristAtil,B-NEP
7,rAjanIwiSAswrapiwa,B-NETP
7,gA,O
7,piluvabaducunnAdu,O
8,Postar,B-NEP
8,aBiprAyaMlo,O
8,pAlitiks,B-NETO
8,graMWamu,O
8,oVkkate,O
8,saMpUrNa,O
8,prAcIna,O
8,grIkuwawvAnni,B-NETE
8,prawibiMbiswuMxi,O
9,jeVllar,B-NEP
9,aBiprAyaMlo,O
9,rAjanIwiwawva,O
9,vicArAniki,O
9,saMbaMXiMci,O
9,manakunna,O
9,graMWAlanniMtilonu,O
9,pAlitiks,O
9,awi,O
9,praXAnamEnaxi,O
10,axi,O
10,rAjanIwi,O
10,BAvAla,O
10,KajAnA,O
11,svaBAvamu,O
11,aristAtil,B-NEP
11,aBiprAyaMlo,O
11,mAnavudu,O
11,saMGajIvi,O
11,vyakwiki,O
11,saMGamuwo,O
11,vidaxIyarAni,O
11,saMbaMXamunnaxi,O
12,nixra,O
12,Akalixappulu,O
12,vyakwiki,O
12,eVlA,O
12,sahaja,O
12,prapawwulo,O
12,saMGajIvanamukUda,O
12,aMwe,O
12,oVMtariwanamunu,O
12,vyakwi,O
12,BariMcaledu,O
13,aMxuke,O
13,e,O
13,vyakwi,O
13,saMGamulo,O
13,jIviMcaledo,O
13,leka,O
13,svayaM,O
13,samqxXi,O
13,cewa,O
13,eVvadiki,O
13,saMGajIviwamu,O
13,avasaramulexo,O
13,awadu,O
13,wappaka,O
13,paSuvugAni,O
13,leka,O
13,BagavaMwudugAni,O
13,ayiuMdAli,O
13,ani,O
13,rAjanIwiSAswra,B-NETP
13,piwAmahudEna,I-NETP
13,aristAtil,B-NEP
13,perkoVneVnu,O
14,2,B-NEN
14,samAjamuloni,O
14,prawivyakwilo,O
14,eVMwo,O
14,koVMwa,O
14,svArWamuMdunu,O
15,wana,O
15,korikalanu,O
15,lakRyAlanu,O
15,neVravercukoVnutaku,O
15,niraMwaramu,O
15,kqRi,O
15,salputa,O
15,mAnavula,O
15,sahaja,O
15,lakRaNamu,O
16,mAnavulalo,O
16,svArWamu,O
16,krUrawvamu,O
16,kapatamu,O
16,asUya,O
16,asahanamu,O
16,moVxalagu,O
16,ceVdu,O
16,guNAlukUda,O
16,unnavi,O
17,vIni,O
17,PaliwamugA,O
17,vyakwula,O
17,maXya,O
17,saMGarRaNa,O
17,janiMcunu,O
18,oVka,B-NEN
18,vyakwi,O
18,aBimawAlu,O
18,aBilARalu,O
18,veroVkari,O
18,aBimawAlu,O
18,aBilARalaku,O
18,BinnamugA,O
18,uMdadame,O
18,kAkuMda,O
18,saMGamulo,O
18,viviXa,O
18,vyakwula,O
18,korikalu,O
18,oVkaxAnikoVkati,O
18,addaMkigA,O
18,nuMduta,O
18,valana,O
18,itti,O
18,saMGarRaNa,O
18,janiMcunu,O
19,itti,O
19,saMGarRaNa,O
19,woVlagiMci,O
19,saMGajIviwAnni,O
19,kramabaxXaMcesi,O
19,purogawini,O
19,sAXiMcutaku,O
19,saMGamuloni,O
19,vAraMxaru,O
19,koVnni,O
19,niyamAlu,O
19,pAtiMcuta,O
19,avasaramu,O
20,itti,O
20,niyamAlanu,O
20,rUpoVMxiMcutaku,O
20,amalu,O
20,ceyutaku,O
20,saMGatiwamEna,O
20,oVka,B-NEN
20,aXikAramu,O
20,avasaramu,O
21,oVka,B-NEN
21,praxeSamuloni,O
21,prajalu,O
21,itti,O
21,niyamAlanu,O
21,rUpoVMxicutaku,O
21,vAtini,O
21,amalu,O
21,ceyadAniki,O
21,oVka,B-NEN
21,vyakwiki,O
21,gAni,O
21,koVMwamaMxi,O
21,vyakwulaku,O
21,gAni,O
21,aXikAramu,O
21,iccinapudu,O
21,atti,O
21,vyakwula,O
21,samuxAyamu,O
21,praBuwvamu,O
21,anabadunu,O
22,oVka,B-NEN
22,nirNIwa,O
22,praxeSamulo,O
22,prajalu,O
22,wAmu,O
22,niyamiMcukoVnna,O
22,praBuwvAniki,O
22,viXeyulE,O
22,A,O
22,praBuwvAniki,B-NETO
22,A,O
22,BUBAgamuloni,O
22,prajalanu,O
22,saMsWalanu,O
22,SAsiMce,O
22,sArvaBOmAXikAramu,B-NETE
22,uMte,O
22,xAnini,O
22,rAjyamaMxuru,O
23,itti,O
23,rAjyamu,O
23,praBuwvamula,O
23,guriMci,O
23,vyakwiki,O
23,vAtiwogala,O
23,saMbaMXamunu,O
23,guriMci,O
23,vivariMcunaxe,O
23,rAjanIwi,B-NETE
23,SAswramu,I-NETE
24,aristAtil,B-NEP
24,uxxeSaMlo,O
24,mAnavudu,O
24,saMGajIvi,O
24,mAwrame,O
24,gAka,O
24,rAjakIyajIvi,O
24,kUda,O
25,vyakwi,O
25,jIvanaMlo,O
25,rAjakIya,O
25,jIvanaM,O
25,kUdA,O
25,aMwarBAgame,O
25,mAnavudu,O
25,wana,O
25,vyakwiwva,O
25,vikAsAniki,O
25,avasaramayina,O
25,saMsWala,O
25,neVnniMtino,O
25,neVlakoVlpukoVnnAdu,O
26,rAjyamukUda,O
26,alAMti,O
26,saMsWalalo,O
26,oVkati,O
27,mAnavunilo,O
27,rAjakIya,O
27,cEwanyamu,O
27,peVriginakoVxxI,O
27,rAjyamu,O
27,praBuwvamu,O
27,moVxalEna,O
27,rAjakIya,B-NETE
27,saMsWalu,I-NETE
27,AvirBaviMcinavi,O
28,kAlakrameNA,O
28,viSAlamayina,O
28,sAmrAjyAlu,O
28,yerpadi,O
28,rAjyAXikAramu,O
28,aXikamayinaxi,O
29,xAniwo,O
29,hewuvAxiyEna,O
29,mAnavudu,O
29,rAjyAvawaraNa,O
29,svaBAvamu,O
29,aXikArAnni,O
29,rAjya,O
29,lakRyAlanu,O
29,guriMci,O
29,vicAraNa,O
29,ceyataM,O
29,prAraMBiMcAdu,O
30,praBuwvAlanu,B-NETE
30,SAsanAlanu,B-NETE
30,pariSIliMcataM,O
30,prAraMBiMcAdu,O
31,I,O
31,viXaMgA,O
31,rAjakIya,B-NETE
31,saMsWala,I-NETE
31,svaBAva,O
31,svarUpAlanu,O
31,avagAhana,O
31,cesukoVnutaku,O
31,mAnavudu,O
31,cesina,O
31,kqRiye,O
31,rAjanIwi,O
31,SAswra,O
31,puttukaku,O
31,aBivqxXiki,O
31,kAraNamayiMxi,O
32,3,B-NEN
32,rAjanIwi,B-NETE
32,SAswramu,I-NETE
32,pE,O
32,samakAlIna,O
