wordcontent,sentences,index
घोषणा,कस्टममध्ये जाण्याची घोषणा होताच आम्ही सर्वांना निरोप घेऊन आत गेलो .,278
घोषणा,राज्याच्या सुवर्ण कर्नाटक महोत्सवानिमित्त मुख्यमंत्री एच. डी. कुमारस्वामी यांनी सुवर्ण ग्रामोदय योजनेची घोषणा केली .,530
घोषणा,आजच्या या यात्रेत सुमारे तीनशे बेरोजगार युवक मोटारसायकली घेऊन घोषणा देत सामील झाले होते .,819
घोषणा,"रायगड जिल्ह्यातील सिंचन क्षेत्रातील अनुशेष चुकीचा मांडला असेल , तर त्याचा फेरसर्व्हे करण्यात येईल , अशी घोषणा जलसंपदा राज्यमंत्री डॉ. सुनील देशमुख यांनी शुक्रवारी ( ता . ३० ) विधानसभेत केली .",1010
घोषणा,"कोणत्याही नव्या योजनेची घोषणा न करता , देशी - विदेशी मद्यांवर व तंबाखूजन्य पदार्थांवर ३३० कोटींची करवाढ सुचविणारा राज्याचा २००७ - ०८चा अर्थसंकल्प राज्याचे अर्थमंत्री जयंत पाटील यांनी आज विधानसभेत सादर केला .",2110
घोषणा,"त्यात आता कर्करोगाचाही समावेश करण्यात आला असून , अर्थसाह्याच्या रकमेत दुपटीने वाढ करून ती दीड लाख रुपये करण्यात आल्याची घोषणा त्यांनी केली .",2126
पहिली,अमेरिकेचे माजी राष्ट्राध्यक्ष बिल क्‍लिंटन हे लार्जेस्ट सीसीआयजी या संस्थचे संस्थापक सदस्य असून २००५ मध्ये लंडन येथे या संस्थेने पहिली जागतिक महापौर परिषद भरविली होती .,226
पहिली,"उल्लेखनीय म्हणजे मुंबईत पहिली "" इलक्‍ट्रिक ट्राम ' धावल्याच्या घटनेसही उद्या ( ता . ७ मे ) शंभर वर्षे पूर्ण होत आहेत .",1056
पहिली,"मुंबईत पहिली "" इलक्‍ट्रिक ट्राम ' धावल्याच्या घटनेला उद्याच शंभर वर्षे होत आहेत .",1061
पहिली,डॉ. ऋता शारंगपाणी ही अमेरिकेतील भारतीय वंशाची पहिली अल्पदृष्टी असलेली महिला डॉक्‍टर आहे .,1235
पहिली,"स्पर्धेसाठी इयत्ता पहिली ते दुसरीचा "" अ ' गट , तिसरी - चौथीचा "" ब ' गट , पाचवी ते सातवीचा "" क ' गट आणि आठवी ते दहावीचा "" ड ' गट , असे एकूण चार गट होते .",1877
पहिली,१२ जून २००१ला चंडिपूर येथील एकात्मिक चाचणी स्थळी या क्षेपणास्त्राची पहिली यशस्वी चाचणी घेण्यात आली होती .,2314
वरिष्ठ,पोलिस अधिकारी यासंदर्भात कोणतीही अधिक माहिती देण्यास तयार नाहीत ; मात्र काही वरिष्ठ पोलिस आधिकाऱ्यांनी पाक संघातील खेळाडू तसेच पदाधिकारी पूर्ण सहकार्य देत असल्याचे सांगितले .,429
वरिष्ठ,"या प्रकरणी वीजनिर्मिती कंपनीच्या वरिष्ठ अधिकाऱ्यांनी त्वरित लक्ष घालून संच बंद पडण्याच्या प्रकाराची उच्चस्तरीय चौकशी करावी , अशी मागणी येथे होत आहे .",463
वरिष्ठ,"दरम्यान , केंद्राच्या वरिष्ठ अधिकाऱ्यांशी संपर्क साधला असता त्यांनी सांगितले , की "" बॉयलर ट्यूब लिक ' होऊन संच सतत बंद पडत आहेत .",464
वरिष्ठ,सकाळी दहाच्या सुमारास हा प्रकार लक्षात आल्यानंतर बीएसएनएलचे वरिष्ठ अभियंते दुरुस्तीच्या कामाला लागले .,602
वरिष्ठ,मात्र मार्क्‍सवादी पक्षाच्या एका वरिष्ठ नेत्याच्या म्हणण्यानुसार त्यांची सर्वाधिक पसंती मुखर्जी यांनाच आहे .,859
वरिष्ठ,१५ मे रोजी सकाळी त्यांनी वरिष्ठ अधिकार्‍यांना ही सुवार्ता दिली .,965
विजय,"यावेळी रमेश तवडकर , विजय पै खोत यांचीही भाषणे झाली .",816
विजय,"विद्यापीठातून अभिनय , लेखन आणि दिग्दर्शनाचे धडे गिरवून बाहेर पडणाऱ्या विद्यार्थ्यांना व्यासपीठ उपलब्ध व्हावे म्हणून एक विशेष नाट्यगृह स्थापन करण्यात यावे , अशी विनंती नवी दिल्ली येथील नॅशनल स्कूल ऑफ ड्रामाचे संचालक देवेंद्र राज अंकुर यांनी कुलगुरू डॉ. विजय खोले यांना केली .",1029
विजय,"डॉ. टिकेकर यांच्या या ग्रंथामुळे त्यास समृद्धता प्राप्त झाली , असे विद्यापीठाचे कुलगुरू विजय खोले यांनी सांगितले .",1389
विजय,"कागदपत्रे गहाळ झाली , असे सांगून बचाव करण्याचा मोठा "" रोग ' शासनयंत्रणेत असल्याचा अनुभव आहे , असे माहिती आयुक्त विजय कुवळेकर यांनी आज येथे सांगितले .",1391
विजय,"विजय देवणे , बाबा यादव , ऍड . केदार मुनीश्‍वर , बंडा पेडणेकर , संदीप देसाई , महेश शिवपुजी , डॉ. सतीश घाळी , पंडित माने ( केर्ली ) , शाहीर राजू राऊत , मारुतराव वायंगणकर आदींची भाषणे झाली .",1475
विजय,अध्यक्षस्थानी विजय पाटील होते .,1698
महिने,ती किमान तीन ते चार महिने बंद राहते .,749
महिने,स्वतः थापा यांनी सियाचिन हिमनदीसारख्या दुर्गम भागात सहा महिने काम केले होते .,977
महिने,लेक्चरर म्हणून नोकरी लागून सहा महिने झाले होते .,1151
महिने,"अझीज लाल मशिदीचे प्रमुख मौलाना असून , ते त्यांचे बंधू अब्दुल रशीद गाझी यांच्यासह सरकारविरोधात गेले सहा महिने मशिदीतून चालू असलेल्या संघर्षाचे नेतृत्व करीत आहेत .",1404
महिने,अतितातडीच्या मोजणीसाठी तीन महिने लागतात .,1707
महिने,येथील औद्योगिक वसाहतीतील दोन कंपन्यांना तर गेले दोन महिने कामगार हवे आहेत .,2062
करणार्‍या,त्यानंतर शोधाशोध करणार्‍या माननीयांचे चित्त थार्‍यावर आले .,4072
करणार्‍या,"या चर्चेचा वास लागताच कुत्र्यांवर काम करणार्‍या दुसर्‍या एका स्वयंसेवी संस्थेने त्यापूर्वीच पत्रकार परिषद घेऊन , या विषयावर आपणही कसे काम करीत आहोत , याची जंत्रीच सादर केली आणि या दोन्ही संस्थांच्या पदाधिकाऱ्यांमध्ये त्यावरून वादावादी सुरू झाली .",4076
करणार्‍या,ऊसतोडणीचे काम करणार्‍या बहुतांश टोळ्या बंद झाल्या आहेत .,4376
करणार्‍या,मका तुलनेने स्वस्त आहे आणि इंधन म्हणून मक्याच्या दाण्यांचा वापर करणार्‍या होम हिटींग भट्या विकसित केल्या गेल्या आहेत .,6200
करणार्‍या,"गहू हे पहिल्या कडधान्यांमधील एक आहे जे संवर्धित पीक आहे , आणि स्वतः पराग पोहचवून फलोत्पादन करणार्‍या गव्हाच्या क्षमतेमुळे अनेक विभिन्न संवर्धित जातींची निवड करण्यास फारच सुलभ होते .",6385
करणार्‍या,कात्रींचा अर्धा भाग तयार करणार्‍या फिंगर्सनी लेड्जर प्लेट्स वाहून नेणार्‍या कापणीयंत्राचा बार हा नेहमी १.२५ मी. किंवा जास्त लांब असतो .,6543
स्वतः,"आजही मला वाटतं की , डॉक्टरांनी पार्टीत चार लोकांसमोर हा जो शूरपणा गाजविला त्याऐवजी ते स्वतः सरळ आत्तीलाच येऊन भेटल असते तर नक्कीच तिने काही मार्ग काढला असता , आणि पुढची सगळी परवड तरी थांबली असती .",644
स्वतः,स्वतः थापा यांनी सियाचिन हिमनदीसारख्या दुर्गम भागात सहा महिने काम केले होते .,977
स्वतः,जोगिंदर सिंग स्वतः निष्णात गिर्यारोहक आहेत .,981
स्वतः,मोहिमेच्या आखणी तसेच अंमलबजावणीत त्यांनी स्वतः लक्ष घातले .,982
स्वतः,त्यामुळे शेवटपर्यंत त्यांना स्वतः हे जाऊन वडिलांना सांगण्याचे किंवा पत्राने कळविण्याचेही धाडस झाले नाही .,1156
स्वतः,मी माझ्या लग्नाचे स्वतः सांगून जेवढी आत्ती चिडली असती त्याच्या दुप्पट ही अशी बाहेरून बातमी आल्यामुळे आत्ती चिडली .,1169
जगातील,"जागतिक तापमानवाढ , प्रदूषण , धरणे , अतिरिक्त पाणीउपसा , अतिरिक्त वाहतूक अशा कारणांमुळे जगातील दहा प्रमुख व मोठ्या नद्यांचे अस्तित्व धोक्‍यात आल्याचा इशारा "" वर्ल्ड वाईड फंड ' ( डब्ल्यूडब्ल्यूएफ ) या संस्थेने ताज्या अहवालात दिला आहे .",390
जगातील,एकही धरण नसलेली जगातील ही एकच नदी आहे .,398
जगातील,लष्कराच्या पथकाने जगातील सर्वोच्च उंचीचे एव्हरेस्ट शिखर सर केले आहे .,961
जगातील,"दरम्यान , या संमेलनासाठी जगातील सोळा देशांतील ३०० अनिवासी भारतीयांनीही हजेरी लावली आहे .",3286
जगातील,"भातासह , गहू हा जगातील सर्वाधिक पसंतीचे प्रमुख खाद्य आहे .",6397
जगातील,उत्पादनाच्या प्रमाणानुसार ऊस हे जगातील सर्वात मोठे पीक आहे .,6607
डी.,"व्यवस्थापन परिषदेचे सदस्य डॉ. अविनाश येळीकर , डी. बी. धायगुडे , डॉ. धनंजय माने , प्राचार्य संतोष लोमटे यांनी भेट घेऊन हानीची पाहणी केली .",376
डी.,राज्याच्या सुवर्ण कर्नाटक महोत्सवानिमित्त मुख्यमंत्री एच. डी. कुमारस्वामी यांनी सुवर्ण ग्रामोदय योजनेची घोषणा केली .,530
डी.,"कॉंग्रेसच्या वतीने उपाध्यक्षपद अपक्ष विजयी उमेदवार डी. डी. भोसले यांना निश्‍चित असून , अध्यक्षपदाची माळ कोणाकडे द्यायची , याचाच विचार अद्याप होणे बाकी आहे .",574
डी.,"या बैठकीत केंद्र सरकारचे संयुक्त मत्स्योद्योग आयुक्त डॉ. एम. के. नायर , मत्स्य सर्वेक्षण महासंचालक डॉ. व्ही . एस . सोमवंशी , केरळचे मत्स्योद्योग सचिव डी. के. सिंह , कर्नाटकाचे मत्स्योद्योग प्रधान सचिव जी राजू प्रेमकुमार , केरळचे मत्स्योद्योग सल्लागार डॉ. एम. कुरूप , केरळचे मत्सोद्योग संचालक जी. हरीशकुमार , कर्नाटकाचे मत्सोद्योग संचालक एच. एस. वीरप्पगौडा , गुजरातचे मत्स्योद्योग संचालक ए. वर्गीस , कर्नाटक मच्छीमारी महासंघाचे अध्यक्ष निसार अहमद सहभागी झाले होते .",840
डी.,"कॅप्टन डी. जे. सिंग , सुभेदार मारुती खंडागळे , हवालदार त्शेरींग अँगचोक , हवालदार बलवंतसिंग नेगी , हवालदार अमरदेव भट आणि शिपाई सचिन पाटील यांनी स्थानिक वेळेनुसार पहाटे सहा वाजता एव्हरेस्टवर पाऊल ठेवले .",967
डी.,विद्यापीठाचा प्रवास पुस्तकी ज्ञानाकडून जीवनाच्या अभ्यासाकडे होत आहे हेच दहा दिवस सुरू असलेल्या या महोत्सवातून सिद्ध झाल्याचे मतही प्र - कुलगुरू डॉ. ए. डी. सावंत यांनी मांडले .,1028
होण्याची,"खासदार प्रिया दत्त , अभिनेते व खासदार गोविंदा आणि भोजपुरी फिल्म स्टार रवी किशन हे पासी यांच्या प्रचारात सहभागी होण्याची शक्‍यता वर्तविण्यात येत आहे .",43
होण्याची,त्यातील एकाला प्राधिकरणाचा मुख्य कार्यकारी अधिकारी होण्याची संधी असेल .,115
होण्याची,"वूल्मर यांच्या पत्नीने जमैकातील पोलिसांना शवविच्छेदन करण्याची परवानगी दिली आहे , त्यामुळे त्यांच्या मृत्यूचे नेमके कारण आज रात्री उशिरा जाहीर होण्याची शक्‍यता आहे ; मात्र त्याच वेळी एकंदर परिस्थिती लक्षात घेतल्यास त्यांच्या मृत्यूचे गूढ वाढतच आहे .",426
होण्याची,"वळवाच्या पावसाची चाहूल नुकतीच लागली असून , साखर भिजल्यास कोट्यवधी रुपयांचे नुकसान होण्याची भीती आहे .",736
होण्याची,साखरेचे दर सध्याच्या दरांपेक्षा कमी होण्याची शक्‍यता नाकारता येत नाही ; तसेच जूनपर्यंत पाऊस सुरू होईल .,747
होण्याची,"पर्यटकांनी भेट देऊन या अमूल्य ठेव्याचा आनंद घ्यावा , यासाठी भविष्यात नियोजनबद्ध प्रयत्न होण्याची आवश्‍यकता आहे .",891
लागू,दरम्यानच्या काळात पोलिसांनी जमावबंदी आदेश लागू करून दोन्ही पक्षाच्या नेत्यांना निर्वाणीचा इशारा दिला .,388
लागू,"मात्र माझ्या डॉक्टरांच्यावरील निष्ठेला धक्का लागू नये , ती डागाळू नये म्हणून संरक्षणही दिले .",657
लागू,प्रजनन काळात बंदी असा नियम लागू केला तर पूर्ण वर्षभर बंदी घालावी लागेल असा मुद्दाही चर्चेला आला होता .,834
लागू,ही बंदी सध्या लागू झालेली आहे .,842
लागू,मात्र त्यामध्ये १ एप्रिल २००५ पासून आकारणी लागू करण्यात येत असल्याचे म्हटले होते .,1541
लागू,"वास्तविक मिळकतदाराने कर आकारणी लागू करण्यासाठी अर्ज केल्यानंतर त्या दिवसापासून कर आकारणी लागू करण्याची तरतूद ""रेंट ऍक्‍ट'मध्ये आहे .",1544
खासगी,खासगी कंपन्यांच्या तुलनेत प्रचंड मागणी असूनही सेवा देण्यात बीएसएनएल मागे पडत असल्याचे चित्र होते .,610
खासगी,"खासगी वाहिन्यांना आता भारतातील ; तसेच परदेशांतील क्रिकेट सामन्यांच्या थेट प्रक्षेपणासाठी आवश्‍यक असलेले "" क्‍लीन लाइव्ह फीड "" दूरदर्शनलाही द्यावे लागणार आहे .",615
खासगी,"या वटहुकमानुसार केवळ क्रिकेटच नव्हे , तर सर्व खेळांबाबत हा नियम प्रत्येक खासगी वाहिनीला बंधनकारक राहणार आहे , असे वृत्त "" सीएनएन - आयबीएन "" ने आज दिले आहे ;",617
खासगी,आता यानुसार निंबस ; तसेच खासगी वाहिन्यांना भारताच्या प्रत्येक सामन्याचे थेट प्रक्षेपण करत असताना दूरदर्शनलाही क्‍लीन लाइव्ह फीड देणे बंधनकारक होणार आहे .,623
खासगी,मात्र त्याच वेळी खासगी वाहिन्यांना नुकसान होऊ नये यासाठीही विशेष तरतूद केली जाईल .,626
खासगी,खासगी वाहिन्यांनी करोडो रुपयांच्या मोबदल्यात भारतीय क्रिकेट नियामक मंडळाकडून सामन्यांच्या थेट प्रक्षेपणाचे हक्क घेतलेले असतात .,627
मुख्यमंत्री,"मुख्यमंत्री आणि नारायण राणे यांची भेट घेतल्यानंतरच तुमचा हा निर्णय आहे का , असे पत्रकारांनी महाव्यवस्थापकांना विचारल्यावर त्यांनी मी कोणाचीही भेट घेतली नसल्याचे सांगितले .",16
मुख्यमंत्री,"यासाठी स्वत : मुख्यमंत्री विलासराव देशमुख , सहकारमंत्री पंतगराव कदम , महसूलमंत्री नारायण राणे यांनी प्रयत्न केल्याचे श्री . गपाट यांनी सांगितले .",340
मुख्यमंत्री,राज्याच्या सुवर्ण कर्नाटक महोत्सवानिमित्त मुख्यमंत्री एच. डी. कुमारस्वामी यांनी सुवर्ण ग्रामोदय योजनेची घोषणा केली .,530
